Country,Population,Literacy,Schooling,Per_Cap_Inc_2017,GINI,Medical_Exp,Doctors,Hosp_Beds,Religion,Sect,Urbanization,Obseity,Infant_Mort,Mort_Under_5,Life_Exp
EGY,100388073,71.2,13,12700,31.8,4.6,0.79,1.6,Muslim,Sunni,42.8,32,17.1,21.2,73.7
SLV,6453553,88.5,12,8000,36,7,1.57,1.3,Christian,Catholic,73.4,24.6,11.8,13.7,74.8
GNQ,1355986,95,9,37400,#N/A,3.4,0.4,2.1,Christian,Catholic,73.1,8,59.7,85.3,65.7
ERI,3497117,64.7,5,1600,#N/A,3,0.06,0.7,Muslim,Sunni,41.3,5,43.3,41.9,66.2
EST,1325648,99.9,16,31700,34.8,6.7,3.47,5,None,N/A,69.2,21.2,3.7,2.6,77.4
SWZ,1148130,83.1,11,10100,50.4,7.7,0.08,2.1,Christian,N/A,24.2,16.5,42.8,54.4,58.6
ETH,112078730,39,8,2200,33,4,0.1,0.3,Christian,Orthodox,21.7,4.5,35.8,55.2,67.5
FIN,5532156,99,19,44500,27.2,9.5,3.81,4.4,Christian,Protestant,85.5,22.2,2.5,1.7,81.3
FRA,65129728,99,15,44100,29.3,11.5,3.23,6.5,Christian,Catholic,81,21.6,3.2,4,82.2
GAB,2172579,82.3,13,18100,42.2,3.1,0.36,6.3,Christian,Catholic,90.1,15,30.4,44.8,69
GMB,2347706,42,9,2600,50.2,4.4,0.11,1.1,Muslim,N/A,62.6,10.3,54.9,58.4,65.8
GEO,3996765,99.6,15,10700,40.1,8.4,5.1,2.6,Christian,Orthodox,59.5,21.7,13.8,9.8,77
